StartDate,EndDate,Progress,Duration,Finished,RecordedDate,CQ1,CQ2,CQ3,EQ1,EQ2,BQ1,BQ2,BQ3,BQ4,BQ5,BQ6,BQ6_11_TEXT,BQ7,BQ7_7_TEXT,FQ1,FQ1_12_TEXT,FQ2,FQ2_12_TEXT,FQ3,FQ3_16_TEXT,BQ1_CLEAN,PQ3,ID,PID
5/3/23 15:32,5/3/23 15:36,100,277,TRUE,5/3/23 15:36,Yes,Yes,Yes,Yes,Yes,3,Yes,No,Yes,No,"Box,Rc,RefCell",NA,"Clippy,AddressSanitizer (ASAN),MemorySanitizer (MSAN)",NA,C,NA,NA,NA,Written manually,NA,3,"Academia,Other",34,NA
5/3/23 19:43,5/3/23 19:48,100,270,TRUE,5/3/23 19:48,Yes,Yes,Yes,Yes,Yes,1.5 years,No,Yes,No,No,"Box,UnsafeCell,Arc,MaybeUninit",NA,Miri,NA,NA,NA,C++,NA,cxx,NA,1.5,Industry,33,NA
5/3/23 20:07,5/3/23 20:13,100,330,TRUE,5/3/23 20:13,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,"Rc,UnsafeCell,RefCell,Arc,ManuallyDrop,LazyCell,OnceCell",NA,"Clippy,AddressSanitizer (ASAN),ThreadSanitizer (TSAN),MemorySanitizer (MSAN)",NA,"C++,Go,Ruby",NA,"C++,JavaScript/TypeScript",NA,"bindgen,windows-bindgen,swift-bridge,Other",WebAssembly,3,Industry,32,P16
5/3/23 22:55,5/3/23 22:56,100,57,TRUE,5/3/23 22:56,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/27/23 21:37,4/27/23 21:39,80,103,FALSE,5/4/23 21:39,Yes,Yes,Yes,Yes,Yes,2,Yes,No,No,No,"Box,UnsafeCell,MaybeUninit,ManuallyDrop",NA,Clippy,NA,"C,C++",NA,NA,NA,Written manually,NA,2,NA,NA,NA
4/28/23 8:23,4/28/23 8:23,30,26,FALSE,5/5/23 8:23,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/28/23 12:56,4/28/23 12:57,20,24,FALSE,5/5/23 12:57,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/1/23 8:54,5/1/23 8:55,30,33,FALSE,5/8/23 8:55,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/8/23 9:19,5/8/23 9:21,100,104,TRUE,5/8/23 9:21,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/1/23 9:41,5/1/23 9:56,80,882,FALSE,5/8/23 9:56,Yes,Yes,Yes,Yes,Yes,2,No,No,Yes,No,"Box,Arc",NA,Other,none,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
5/1/23 10:02,5/1/23 10:03,30,25,FALSE,5/8/23 10:03,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
